epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7574,0.80926,2.05794,1.25796,0.47468,0.59007,0.54793,0.41887,0.89293,1.82965,1.51306,0.00332647,0.00332647,0.00332647
2,101.729,0.7941,1.31577,1.23261,0.4334,0.50105,0.45649,0.3107,1.33489,1.69785,1.94984,0.00663783,0.00663783,0.00663783
3,146.34,0.8797,1.22459,1.29233,0.33944,0.55974,0.38378,0.24879,1.26225,2.83352,1.92007,0.00992719,0.00992719,0.00992719
4,189.408,0.9369,1.17594,1.33101,0.50145,0.52773,0.52492,0.34637,1.28293,1.46496,1.91615,0.009901,0.009901,0.009901
5,233.849,0.89699,1.02569,1.29258,0.42824,0.62147,0.49962,0.36157,1.03717,1.27263,1.65975,0.009868,0.009868,0.009868
6,276.38,0.85784,0.92613,1.26506,0.69596,0.5046,0.61609,0.4273,1.06008,1.06268,1.69395,0.009835,0.009835,0.009835
7,319.882,0.83931,0.87492,1.25317,0.59662,0.61138,0.60291,0.44451,0.94912,0.79739,1.53402,0.009802,0.009802,0.009802
8,363.626,0.81304,0.83429,1.23735,0.61248,0.63581,0.61495,0.45464,0.89648,1.02358,1.49766,0.009769,0.009769,0.009769
9,407.23,0.80168,0.7898,1.22133,0.63377,0.60477,0.62833,0.46534,0.95584,0.97911,1.54937,0.009736,0.009736,0.009736
10,450.624,0.78288,0.76318,1.20896,0.66871,0.6296,0.66093,0.49259,0.89523,1.01222,1.48085,0.009703,0.009703,0.009703
11,494.358,0.76879,0.72776,1.20126,0.58955,0.65291,0.62012,0.46404,0.93307,0.9125,1.54682,0.00967,0.00967,0.00967
12,537.778,0.76237,0.7095,1.19458,0.69281,0.5897,0.66921,0.50279,0.86279,0.87054,1.45265,0.009637,0.009637,0.009637
13,581.528,0.75902,0.69631,1.18798,0.62435,0.63942,0.65082,0.50268,0.82077,0.80118,1.40042,0.009604,0.009604,0.009604
14,624.94,0.74709,0.68645,1.18169,0.58732,0.63471,0.63616,0.45978,0.89596,1.18712,1.49079,0.009571,0.009571,0.009571
15,668.843,0.73131,0.6613,1.1702,0.63557,0.65309,0.67371,0.51416,0.82333,1.06337,1.41602,0.009538,0.009538,0.009538
16,712.648,0.73169,0.65927,1.17216,0.62972,0.6483,0.68827,0.50397,0.90045,0.96521,1.48895,0.009505,0.009505,0.009505
17,756.334,0.72765,0.64426,1.16641,0.76417,0.60946,0.72138,0.51741,0.99284,0.85328,1.65387,0.009472,0.009472,0.009472
18,800.184,0.71559,0.64191,1.16243,0.65827,0.67394,0.69606,0.53272,0.86467,0.89561,1.43746,0.009439,0.009439,0.009439
19,843.962,0.70839,0.62566,1.16137,0.61712,0.56871,0.6247,0.49871,0.85698,1.0061,1.4421,0.009406,0.009406,0.009406
20,887.755,0.69654,0.61155,1.15006,0.55239,0.63085,0.61838,0.49668,0.84584,1.10929,1.41051,0.009373,0.009373,0.009373
21,931.83,0.7115,0.62439,1.16224,0.6132,0.65608,0.6941,0.51154,0.89377,1.06445,1.48822,0.00934,0.00934,0.00934
22,975.468,0.69523,0.59261,1.14604,0.62568,0.66644,0.67756,0.53389,0.80062,0.77561,1.39267,0.009307,0.009307,0.009307
23,1019.21,0.68457,0.59004,1.14211,0.68559,0.62162,0.66196,0.51939,0.84237,0.76798,1.40391,0.009274,0.009274,0.009274
24,1063,0.6809,0.58022,1.13635,0.5797,0.66243,0.67787,0.51984,0.8047,0.91819,1.35192,0.009241,0.009241,0.009241
25,1106.61,0.67671,0.57323,1.13444,0.58715,0.65323,0.65228,0.50894,0.90167,0.93235,1.47991,0.009208,0.009208,0.009208
26,1150.29,0.67299,0.56536,1.13153,0.77028,0.67446,0.77155,0.5774,0.85164,0.7726,1.43281,0.009175,0.009175,0.009175
27,1194.08,0.66853,0.5554,1.12816,0.67735,0.62261,0.71404,0.54737,0.83905,0.88376,1.44862,0.009142,0.009142,0.009142
28,1237.56,0.66805,0.55421,1.12816,0.6863,0.62952,0.69454,0.52709,0.89278,0.85733,1.49355,0.009109,0.009109,0.009109
29,1281.33,0.65928,0.55827,1.11982,0.60946,0.70057,0.69107,0.52926,0.83846,0.81996,1.42392,0.009076,0.009076,0.009076
30,1324.87,0.657,0.54623,1.1226,0.77631,0.65943,0.72322,0.56488,0.80768,0.69318,1.35666,0.009043,0.009043,0.009043
31,1368.42,0.65923,0.54126,1.12126,0.65226,0.6627,0.69544,0.53667,0.80125,0.75644,1.35876,0.00901,0.00901,0.00901
32,1412.08,0.65481,0.5382,1.11513,0.68081,0.6145,0.69783,0.54734,0.88931,0.79257,1.45013,0.008977,0.008977,0.008977
33,1455.88,0.64206,0.52667,1.11052,0.67335,0.59914,0.67891,0.53609,0.86935,0.76304,1.44709,0.008944,0.008944,0.008944
34,1499.83,0.65031,0.52955,1.11806,0.7183,0.68282,0.7231,0.55289,0.80618,0.68814,1.37554,0.008911,0.008911,0.008911
35,1543.91,0.64682,0.52641,1.11696,0.60805,0.64187,0.66921,0.52592,0.83316,0.77707,1.39563,0.008878,0.008878,0.008878
36,1587.91,0.62967,0.5082,1.10572,0.72234,0.63535,0.72381,0.56455,0.8417,0.66622,1.38987,0.008845,0.008845,0.008845
37,1631.75,0.64398,0.51129,1.10605,0.67647,0.64401,0.69958,0.54602,0.85895,0.81506,1.41637,0.008812,0.008812,0.008812
38,1675.31,0.63421,0.50902,1.10827,0.56488,0.64962,0.64672,0.52752,0.8241,0.9077,1.38423,0.008779,0.008779,0.008779
39,1719.37,0.63531,0.50371,1.10424,0.66884,0.69372,0.71068,0.5591,0.8239,0.77249,1.40159,0.008746,0.008746,0.008746
